,ticker,Time,Close,5D,10D,20D,50D,100D,200D
62,TEM,22:57:04,50.84,50.78,51.37,53.53,58.79,66.18,69.41
63,UBER,22:57:04,77.79,74.74,74.71,74.21,77.68,82.99,87.66
64,WFC,22:57:04,76.23,75.64,78.18,81.8,87.06,87.48,83.3
65,XOM,22:57:04,158.81,155.45,152.76,151.64,142.25,129.15,118.83
66,DAVE,22:57:04,210.19,213.61,216.1,199.85,193.94,205.66,210.77
67,DDOG,22:57:05,128.87,126.92,125.27,118.97,123.29,140.55,139.19
68,HIMS,22:57:05,24.98,24.87,21.8,18.73,23.88,31.38,41.89
69,HWM,22:57:05,240.24,242.64,248.38,253.35,233.34,217.43,199.54
70,IONQ,22:57:05,33.31,33.38,34.67,34.8,39.77,45.55,47.32
71,NVDA,22:57:05,181.93,182.91,182.61,184.82,185.25,185.87,177.83
72,ORCL,22:57:05,154.69,157.61,154.91,151.96,164.88,192.63,219.51
73,PLTR,22:57:05,155.08,152.77,153.44,144.95,153.1,167.02,163.12
74,PM,22:57:06,172.83,172.22,172.59,178.78,175.96,164.58,165.45
75,WBD,22:57:06,27.64,27.51,27.69,28.18,28.13,26.53,20.1
76,YUM,22:57:06,163.69,160.19,159.76,162.04,158.36,153.0,148.78
77,PLD,22:57:06,133.21,133.07,134.84,137.93,134.42,130.17,119.55
78,DIN,22:57:06,28.65,28.37,29.69,30.62,33.54,31.53,27.71
79,SMCI,22:57:07,31.51,31.36,31.68,31.68,31.24,34.14,41.01
80,QUBT,22:57:07,7.54,7.45,7.6,7.94,9.52,10.94,14.18
81,QSR,22:57:07,75.05,73.27,73.04,71.32,69.58,69.17,67.27
82,NVTS,22:57:07,9.82,10.25,9.47,9.1,9.29,9.25,8.3
83,MARA,22:57:07,9.24,9.02,8.84,8.59,9.15,11.1,14.05
84,IBM,22:57:07,256.11,249.64,251.72,247.42,274.79,288.33,276.56
85,DTE,22:57:08,149.34,147.77,147.87,146.42,138.97,135.54,134.64
86,DELL,22:57:08,153.01,151.69,148.89,138.88,126.57,131.82,130.28
87,CRWV,22:57:08,82.12,82.18,78.76,84.33,88.3,89.44,109.04
88,CRWD,22:57:08,433.2,436.48,431.57,406.77,428.09,470.07,468.37
89,CRCL,22:57:08,132.31,120.1,114.34,95.18,79.83,86.11,
90,COIN,22:57:08,210.23,200.19,200.91,187.06,198.7,238.67,284.49
91,CMS,22:57:09,78.29,77.4,77.32,77.03,73.59,72.65,71.51
92,PSKY,22:57:09,9.23,9.61,10.5,10.94,11.22,13.0,13.7
93,DKS,22:57:09,190.64,192.74,195.4,201.25,205.17,209.55,209.58
94,VZ,22:57:09,50.52,50.84,50.88,50.17,45.61,42.64,41.99
95,CGNX,22:57:09,50.12,49.48,50.27,52.99,46.28,42.5,40.75
96,MSFT,22:57:09,399.41,400.33,404.17,400.35,425.59,459.84,480.86
97,AMZN,22:57:09,215.2,211.36,213.36,210.64,222.7,227.11,224.78
98,AXP,22:57:10,300.27,301.26,303.43,314.88,341.99,353.6,334.22
99,BA,22:57:10,210.82,210.61,217.63,224.3,233.87,218.38,219.28
100,BP,22:57:10,43.85,42.63,41.23,39.85,37.65,36.26,34.01
101,CDNS,22:57:11,293.75,291.6,295.15,296.23,301.34,311.95,322.79
102,CELH,22:57:11,43.96,44.31,44.21,46.63,49.34,48.12,49.89
103,CVNA,22:57:11,314.74,304.6,313.51,324.07,384.94,380.7,365.61
104,DKNG,22:57:11,25.22,25.42,25.35,24.21,27.8,30.15,35.87
105,HAS,22:57:11,93.28,93.78,94.68,97.24,93.6,86.24,79.97
106,HSY,22:57:11,217.71,217.65,221.37,225.05,210.36,194.58,185.67
107,INTC,22:57:11,44.06,45.76,45.61,45.33,46.28,42.14,33.81
108,LEVI,22:57:12,18.67,18.3,18.98,20.51,20.84,20.95,20.67
109,MA,22:57:12,506.58,502.88,511.67,513.61,532.06,543.74,557.12
110,MP,22:57:12,59.3,59.63,59.83,59.35,61.49,60.03,59.24
111,ROKU,22:57:12,96.3,95.73,97.56,94.64,98.0,100.27,95.39
112,SHEL,22:57:13,91.97,89.53,86.87,84.08,78.26,75.66,72.82
113,SHOP,22:57:13,127.8,126.61,129.05,125.23,133.63,147.41,140.42
114,SNOW,22:57:13,174.6,176.87,176.87,173.1,188.82,216.5,217.47
115,TJX,22:57:13,155.38,156.1,158.02,158.17,155.37,152.23,141.97
116,WYNN,22:57:13,103.33,100.65,101.78,105.59,110.77,117.34,113.71
117,DAL,22:57:13,64.83,60.31,60.55,64.15,67.56,65.52,60.39
118,H,22:57:13,147.49,144.62,150.07,157.76,161.33,158.38,149.91
119,MCD,22:57:14,326.3,325.71,327.45,329.27,319.3,312.18,305.19
120,PEP,22:57:14,156.5,158.62,159.66,162.61,155.59,150.1,143.7
121,PNC,22:57:14,203.92,202.83,205.82,213.86,220.28,206.75,197.75
122,VAC,22:57:15,69.52,67.08,68.18,64.42,60.13,57.84,64.53
123,AAPL,22:57:15,254.23,254.75,257.47,262.12,261.87,267.19,245.74
124,BKNG,22:57:15,4442.33,4303.35,4372.63,4245.61,4646.46,4876.27,5177.05
125,BBY,22:57:15,62.62,62.77,64.43,64.11,66.1,70.59,70.49
126,CSCO,22:57:15,79.27,78.47,78.58,78.63,78.14,76.75,71.89
127,DIS,22:57:16,100.3,99.71,100.85,103.1,107.38,108.27,112.1
128,EAT,22:57:16,142.77,142.78,140.44,143.5,154.32,143.36,149.69
129,FLUT,22:57:16,109.25,108.28,109.76,113.36,150.58,184.09,232.09
130,INTU,22:57:16,459.28,445.43,454.28,422.49,481.56,570.11,644.29
131,MGM,22:57:16,36.86,36.42,36.21,36.17,35.38,34.86,35.1
132,NFLX,22:57:16,94.36,94.81,96.62,90.61,87.06,95.43,108.84
133,NKE,22:57:17,55.12,54.74,56.0,59.51,61.87,62.6,66.33
134,PINS,22:57:17,18.56,18.5,19.06,18.21,21.25,24.48,29.86
135,SCHW,22:57:17,93.93,92.91,93.88,94.34,98.59,96.77,94.75
136,SPOT,22:57:17,525.23,517.85,531.58,510.19,504.07,555.56,627.88
137,V,22:57:18,308.46,308.23,312.92,314.71,324.7,331.47,339.19
138,XYZ,22:57:18,59.79,60.79,63.4,59.65,61.08,63.82,68.36
139,BLSH,22:57:18,39.94,37.92,36.92,34.53,34.6,39.56,
140,CHWY,22:57:18,25.22,25.22,25.49,25.82,28.3,30.98,35.31
141,FIG,22:57:18,27.45,26.93,28.25,28.09,28.26,34.55,
142,PFE,22:57:18,27.45,26.96,26.9,26.99,26.4,25.52,24.6
143,TXN,22:57:19,194.45,193.62,195.53,205.04,204.79,186.41,188.11
144,WING,22:57:19,198.08,200.5,214.84,235.66,253.66,249.74,280.31
145,NBIS,22:57:19,116.33,115.83,105.33,102.19,97.88,97.81,85.3
146,SLV,22:57:19,71.66,74.39,75.59,76.75,78.54,65.15,50.9
147,ICOP,22:57:19,47.63,48.17,49.44,52.31,51.67,45.81,38.78
148,BBAI,22:57:19,3.96,4.0,4.04,4.0,4.85,5.52,5.84
149,KR,22:57:20,74.12,74.27,73.06,70.61,66.57,65.4,66.76
150,AMD,22:57:20,196.31,197.77,198.87,200.36,215.23,221.43,191.65
151,MU,22:57:20,461.69,430.73,411.42,413.45,393.92,318.05,226.44
152,RGTI,22:57:20,16.22,16.31,16.79,16.87,19.47,24.14,22.24
153,MRK,22:57:20,115.87,115.3,115.85,118.5,114.48,104.71,92.57
154,YYAI,22:57:21,0.96,0.95,0.98,0.96,1.12,1.33,50.38
155,STUB,22:57:21,7.14,7.52,8.12,8.76,11.09,13.02,
156,NXST,22:57:21,237.82,238.46,243.07,240.87,225.44,209.19,197.73
157,RL,22:57:21,349.21,338.64,343.51,357.39,358.87,352.38,323.44
158,SERV,22:57:21,9.62,9.77,9.7,9.75,11.18,11.17,11.41
159,SE,22:57:21,87.59,86.83,88.92,98.34,112.05,125.4,147.65
160,MPC,22:57:21,233.26,229.04,223.55,211.66,194.25,189.7,181.26
161,BMNR,22:57:21,23.23,21.75,21.05,20.5,24.07,29.99,
162,BABA,22:57:22,136.57,135.8,134.29,141.79,155.1,157.23,145.7
163,BRKR,22:57:22,33.74,34.42,35.96,37.79,43.13,43.63,40.0
164,SMR,22:57:22,12.44,12.07,12.09,12.71,15.98,20.12,29.86
165,STX,22:57:22,421.09,392.71,381.73,392.07,379.59,324.24,247.06
166,WDC,22:57:22,313.81,280.46,269.6,274.3,257.07,208.96,145.83
167,NEM,22:57:22,111.04,112.3,114.91,119.85,118.17,104.4,86.87
168,GEV,22:57:22,844.05,831.24,827.1,840.71,763.86,686.61,634.28
169,NRG,22:57:23,154.75,152.17,154.97,165.85,158.43,161.54,158.83
170,APH,22:57:23,135.12,134.37,134.55,140.34,143.64,140.02,124.16
171,TPR,22:57:23,143.16,143.03,145.87,150.51,141.69,127.74,114.2
172,LRCX,22:57:24,226.47,217.29,214.98,226.33,224.28,192.02,149.81
173,KLAC,22:57:24,1481.35,1442.56,1434.47,1467.85,1461.04,1329.42,1132.08
174,IDXX,22:57:24,586.98,583.78,600.42,621.25,654.74,675.14,634.28
175,NIO,22:57:24,5.96,5.77,5.38,5.19,4.92,5.37,5.33
176,MBX,22:57:24,29.74,28.89,29.47,32.36,35.19,31.15,22.18
177,NI,22:57:24,47.26,47.01,46.97,46.71,44.81,43.49,42.08
178,GLW,22:57:25,129.89,130.52,132.07,139.19,118.29,102.28,83.53
179,PGY,22:57:25,10.99,11.07,11.34,11.51,16.59,20.44,24.68
180,QBTS,22:57:25,17.47,17.84,18.34,18.62,22.2,24.68,22.52
181,JMIA,22:57:25,7.36,7.39,7.6,8.08,10.66,11.08,9.12
182,OUST,22:57:25,21.39,22.29,21.82,20.58,22.2,23.57,25.02
183,PL,22:57:25,27.08,25.38,25.4,25.06,24.66,19.52,13.87
184,ONDS,22:57:25,11.28,10.43,10.27,10.36,11.07,9.38,6.89
185,QS,22:57:26,6.96,6.9,6.87,6.92,8.59,10.88,10.23
186,LMT,22:57:26,636.33,645.97,653.65,655.02,615.1,541.14,499.03
187,DLR,22:57:26,180.39,179.96,179.28,177.69,169.04,164.13,166.4
188,EQIX,22:57:26,976.88,975.23,963.64,954.99,872.67,822.21,807.4
189,NEE,22:57:27,92.53,92.3,91.98,92.32,88.14,85.02,78.97
190,CEG,22:57:27,307.69,303.46,313.0,312.21,303.53,331.7,328.83
191,ETN,22:57:27,363.95,356.96,355.24,363.27,354.6,350.55,353.97
192,VRT,22:57:27,268.41,265.13,260.29,255.5,215.69,195.23,165.18
193,OXY,22:57:27,57.73,57.37,55.5,53.54,47.85,44.38,44.14
194,ALB,22:57:28,166.32,163.61,164.67,170.85,170.57,145.23,110.2
195,LAC,22:57:28,4.5,4.5,4.58,4.71,5.11,5.11,4.44
196,GLXY,22:57:28,23.5,22.21,22.2,21.81,24.49,26.37,26.83
197,IWM,22:57:28,250.05,249.16,252.22,257.71,260.48,252.97,239.84
198,ZG,22:57:28,45.05,42.93,44.26,44.55,54.47,62.35,68.81
199,PATH,22:57:28,11.98,11.78,11.69,11.17,12.93,14.25,13.41
200,USAR,22:57:28,19.68,19.89,19.41,19.32,20.11,18.02,17.01
201,VVV,22:57:29,34.03,34.03,34.83,36.59,34.87,33.03,35.19
202,TMQ,22:57:29,3.82,3.97,3.99,4.08,4.79,4.61,3.44
203,ASTS,22:57:29,95.7,89.29,91.2,87.98,96.08,82.51,66.78
204,CCCX,22:57:29,13.66,12.98,12.83,14.57,15.46,16.27,
205,UAL,22:57:29,93.19,89.46,92.09,101.1,107.26,104.65,98.77
206,BG,22:57:29,125.96,124.57,120.63,120.8,114.54,103.78,91.73
207,BBWI,22:57:29,20.27,19.8,20.72,21.91,22.11,21.36,24.64
208,GT,22:57:30,6.74,6.92,7.24,7.89,8.82,8.47,8.92
209,KHC,22:57:30,22.89,22.73,23.38,23.69,23.52,23.8,24.71
210,KO,22:57:30,77.58,77.38,77.21,78.41,75.28,72.49,70.06
211,LPLA,22:57:30,293.82,291.9,302.17,308.06,342.43,352.38,355.59
212,PG,22:57:30,151.48,151.61,153.52,157.97,153.03,149.16,151.61
213,AAL,22:57:30,10.86,10.65,11.12,12.18,13.73,13.88,12.94
214,ADBE,22:57:30,254.2,259.77,269.49,264.44,282.8,310.96,337.87
215,BRK-B,22:57:31,492.58,492.06,493.85,494.22,493.36,495.75,491.51
216,MNST,22:57:31,77.59,77.25,76.96,80.31,80.08,76.37,69.93
217,ABAT,22:57:31,3.27,3.35,3.4,3.53,4.07,4.09,3.51
218,AFRM,22:57:31,47.56,47.86,49.48,49.21,60.12,65.8,69.17
219,FDX,22:57:31,354.66,354.64,360.58,372.11,345.85,307.14,267.03
220,HAL,22:57:31,35.64,34.85,34.69,34.98,33.86,30.5,26.13
221,LAD,22:57:32,250.97,255.56,260.4,272.43,305.14,312.24,316.22
222,PYPL,22:57:32,46.13,45.28,45.89,45.23,48.68,55.84,63.15
223,ANF,22:57:32,86.42,84.93,86.68,91.61,98.44,95.15,91.33
224,DNUT,22:57:32,3.59,3.35,3.45,3.35,3.44,3.77,3.54
225,CRM,22:57:32,195.31,195.98,197.02,193.35,210.07,229.86,241.5
226,BUD,22:57:33,72.53,72.49,73.17,76.14,73.09,67.87,65.99
227,DOCU,22:57:33,47.54,47.18,47.64,46.07,51.67,60.3,68.37
228,ET,22:57:33,18.79,18.72,18.66,18.75,18.02,17.13,16.9
229,HON,22:57:33,231.42,234.65,237.11,239.69,229.06,211.79,208.27
230,KDP,22:57:33,27.57,27.42,27.85,28.87,28.34,27.95,29.19
231,KHC,22:57:33,22.89,22.73,23.38,23.69,23.52,23.8,24.71
232,LLY,22:57:34,930.35,976.33,986.85,1007.55,1033.18,1014.32,887.62
233,LULU,22:57:34,159.27,159.59,165.06,173.24,183.0,183.68,196.34
234,REGN,22:57:34,759.05,756.6,764.89,772.73,768.73,739.39,646.7
235,SBUX,22:57:34,97.57,99.23,99.15,97.97,95.11,89.58,88.42
236,ZIM,22:57:34,27.41,27.28,27.95,28.42,24.68,21.28,18.27
237,WDFC,22:57:34,222.19,225.76,230.43,236.05,226.1,211.7,213.6
238,BLNE,22:57:34,2.74,2.92,2.88,2.87,2.87,2.5,2.31
239,AMC,22:57:35,1.08,1.09,1.12,1.15,1.34,1.78,2.39
240,BULL,22:57:35,5.47,5.36,5.51,5.7,6.73,8.02,10.65
241,BYRN,22:57:35,9.61,9.84,10.76,11.77,13.84,16.07,20.01
242,CAG,22:57:35,16.19,16.36,17.5,18.19,18.0,17.55,18.14
243,CART,22:57:35,38.17,37.95,37.8,37.31,38.03,39.83,42.26
244,CAVA,22:57:35,90.52,84.12,81.99,78.54,71.26,62.42,68.36
245,CBRL,22:57:36,28.87,27.98,28.83,30.52,31.04,30.0,42.27
246,UPS,22:57:36,97.77,98.21,100.89,108.09,108.55,101.38,94.68
247,WIX,22:57:36,89.52,88.48,89.51,79.0,82.19,98.54,124.23
248,TGT,22:57:36,116.76,117.14,118.78,117.18,111.64,101.72,97.88
249,TMUS,22:57:36,213.35,214.67,217.15,216.68,203.9,204.63,220.04
250,WING,22:57:36,198.08,200.5,214.84,235.66,253.66,249.74,280.31
251,UNH,22:57:37,287.57,283.49,284.55,284.8,300.33,314.43,310.05
252,TSN,22:57:37,62.07,61.01,61.3,62.33,61.92,58.39,56.03
253,TWLO,22:57:37,126.88,125.98,125.82,121.07,122.37,125.62,119.44
254,JD,22:57:37,28.54,28.28,27.45,27.22,28.2,29.3,31.08
